lat,lon
43.6614,-110.7119
40.1606,-113.3508
47.4175,-117.5264
45.1581,-113.0058
41.6164,-112.5436
41.8483,-119.6358
46.8847,-110.2894
43.2717,-124.3186
45.7728,-122.8611
40.6508,-122.6067
48.5406,-121.4461
44.4186,-123.3258
47.5139,-123.812
43.1072,-78.9453
42.1997,-75.985
40.3161,-78.8339
43.0833,-70.8167
41.8031,-78.6403
42.5519,-71.7558
40.7939,-73.1017
41.1783,-78.8989
41.5092,-74.265
45.6308,-89.4653
40.0781,-83.0781
41.77,-88.4814
44.3592,-89.8369
47.2856,-68.3133
42.1208,-87.9047
42.7461,-86.0967
43.77,-88.4864
43.7694,-87.8506
40.8731,-81.8867
41.6264,-80.215
42.595,-87.9381
41.4525,-87.0058
41.8678,-84.0794
41.5631,-83.4764
41.3461,-82.1794
40.7083,-84.0267
41.3375,-84.4289
40.4719,-81.4236
41.5175,-81.6836
45.0133,-84.7014
40.6161,-83.0636
41.7781,-80.6958
40.0228,-82.4625
43.7347,-96.6222
48.3056,-95.8744
27.85,-82.5167
26.9172,-81.9914
28.4339,-81.325
29.6919,-82.2756
28.4736,-82.4544
28.8208,-81.8097
25.4833,-80.3833
29.7333,-85.0333
29.6333,-83.1053
29.1828,-81.0483
26.585,-81.8614
24.555,-81.7522
28.1011,-80.6439
25.7906,-80.3164
28.5453,-81.3331
27.9619,-82.5403
27.6531,-80.2428
26.6847,-80.0994
26.0719,-80.1536
24.5833,-81.6833
28.7797,-81.2436
25.7167,-80.2833
27.4014,-82.5586
27.9106,-82.6875
28.0622,-81.7542
25.9069,-80.2803
28.0206,-81.9219
29.3331,-89.4075
26.1969,-80.1708
25.6475,-80.4331
26.5361,-81.755
27.4981,-80.3767
24.7258,-81.0517
26.1522,-81.7753
26.2281,-97.6542
29.6167,-95.1667
29.3833,-98.5833
29.5439,-98.2736
28.8614,-96.9303
29.9933,-90.2511
29.9506,-94.0206
29.6381,-95.2819
25.9156,-97.4186
29.5442,-98.4839
29.2733,-94.8592
27.7839,-97.5108
28.3667,-97.6667
27.6833,-97.2833
27.5,-97.8167
29.9167,-90.1303
27.7411,-98.0247
28.7247,-96.2536
29.3,-94.8
28.4567,-99.2183
26.1658,-97.3458
29.8167,-90.0167
26.1839,-98.2539
29.98,-95.36
29.36,-99.1742
29.5622,-91.5256
29.3389,-98.4719
29.7036,-98.0281
28.0836,-97.0464
29.5189,-95.2417
29.1097,-95.4619
29.6222,-95.6564
26.5258,-98.0633
39.8667,-93.1469
39.4717,-76.1697
37.0833,-76.35
38.8167,-76.8667
39.1333,-75.4667
35.3444,-77.9647
35.1739,-79.0089
38.3,-76.4167
35.8922,-78.7819
36.0969,-79.9433
39.3792,-74.4242
36.5728,-79.3361
38.8853,-79.8528
37.3208,-79.2067
39.4019,-77.9844
39.3667,-75.0667
39.6428,-79.9164
36.9033,-76.1922
39.8683,-75.2311
37.505,-77.3203
37.3169,-79.9742
38.8483,-77.0342
34.1853,-79.7239
35.2167,-75.7167
34.2675,-77.8997
36.95,-76.2833
38.9833,-76.4667
34.9,-76.8833
36.695,-76.1356
